ID;Start Date;End Date;Display Date;Title;City;Venue;Type;Org. Body;# of Cat. Entries;# of Artists;Status
322;1910-11-00;1911-01-00;;Einundzwanzigste Ausstellung der Berliner Secession. Zeichnende Künste;Berlin;Ausstellungshaus am Kurfürstendamm 208/9;group;Berliner Secession;1040;112;proof read
1419;1910-11-00;;;Neue Künstlervereinigung München E.V., Turnus 1910-1911. [II. Ausstellung];Mannheim;Mannheimer Schloss;group;"Neue Künstlervereinigung München (N.K.V.M.); Mannheimer Kunstverein";0;0;pending
1052;1910-11-00;;;Watercolours by C. Maresco Pearce;London;Carfax Gallery;solo;Carfax Gallery;52;1;proof read
1160;1910-11-00;1910-12-00;;XXXIV. výstava Spolku výtvar. umělců Manes. Švédské umění;Prague;Pavilon v zahradě Kinských;group;Spolek výtvarných umělců Mánes;169;18;completed
321;1910-11-00;1910-12-00;;XXXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession;Vienna;Gebäude der Secession;group;"Vereinigung bildender Künstler Österreichs Secession; Vereinigung bildender Künstlerinnen Österreichs";322;169;proof read
323;1910-11-07;1910-11-19;;Exposition de Peintures de André Lhote;Paris;Galerie Druet;solo;Galerie Druet;59;1;proof read
870;1910-11-07;1910-12-31;;Exposition de Peintures, Aquarelles, Dessins, Gravures de Paul Renouard;Paris;Palais du Louvre - Pavillon de Marsan;solo;;707;1;proof read
865;1910-11-07;1910-11-12;;Exposition T. E. Butler;Paris;MM. Bernheim-Jeune & Cie;solo;MM. Bernheim-Jeune & Cie;37;1;proof read
324;1910-11-08;1911-01-15;;Manet and the Post-Impressionists;London;Grafton Galleries;group;Grafton Galleries;233;26;proof read
993;1910-11-09;1910-11-00;;Tibor Ernő gyüjteményes kiállítása;Budapest;Művészház;solo;Művészház;99;1;proof read
864;1910-11-10;1910-11-26;;Tableaux, Aquarelles, Dessins de Maxime Maufra;Paris;Galeries Durand-Ruel;solo;Galeries Durand-Ruel;66;1;proof read
1156;1910-11-14;1910-11-19;;Exposition Luce;Paris;MM. Bernheim-Jeune & Cie;solo;MM. Bernheim-Jeune & Cie;57;1;proof read
325;1910-11-18;1910-12-08;;[Manet, Cezanne, Renoir, Toulouse-Lautrec, Rodin, Rousseau];New York;Photo-Secession Galleries;group;Photo-Secession Galleries;0;0;pending
797;1910-11-19;1911-12-10;;Künstlerbund Hagen. Herbst-Ausstellung;Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;Künstlerbund Hagen / Hagenbund;225;32;proof read
806;1910-11-21;1910-12-03;;Exposition de peintures de Augustin Carrera;Paris;Galerie Druet;solo;;66;1;proof read
1249;1910-11-22;1910-11-23;;Collection de M. Albert Bernier;Paris;Hôtel Drouot;auction;Hôtel Drouot;58;36;proof read
1205;1910-11-23;1910-12-00;23/11/1910 - end/12/1910;[Gustav Klimt];Vienna;Galerie Miethke;solo;Galerie Miethke;0;0;pending
1016;1910-11-27;1910-12-27;;A Művészház téli kiállítása [ellenszalon];Budapest;Művészház;group;Művészház;152;56;proof read
748;1910-12-00;;;[XI Exhibition of Paintings of the Ekaterinoslav Art and Theatre Society, Ekaterinoslav];Ekaterinoslav;Ekaterinoslav (exact location unknown);group;;0;0;pending
1067;1910-12-00;;;Chinese Studies by Vera Waddington;London;Carfax Gallery;solo;Carfax Gallery;42;1;proof read
819;1910-12-00;1911-01-00;;Esposizione Annuale d'Arte della Famiglia Artistica;Milan;Famiglia Artistica;group;;0;0;pending
1053;1910-12-00;;Winter 1910;Forty-Fourth Exhibition of Modern Pictures by the New English Art Club;London;Galleries of the Royal Society of British Artists;group;New English Art Club;372;164;proof read
929;1910-12-03;1911-01-00;03/12/1910 - beg/01/1911;XIII. Jahrgang. Winter 1910/1911. IV. Ausstellung. [Kollektionen von Pierre Bonnard, Ulrich Hübner, Leo Klein-Diepold, Hedwig Moos];Berlin;Paul Cassirer;group;Paul Cassirer;65;4;proof read
328;1910-12-04;1910-12-17;;Exposition Annuelle, 1er Groupe;Paris;Galerie Druet;group;Galerie Druet;56;12;proof read
844;1910-12-04;1911-01-02;;Moskovkoe Tovariscestvo Hudoznikov: Vystavka akvarelej i eskizov;Moscow;Salon of K. Mikhaïlova;group;;0;0;pending
327;1910-12-10;1911-01-16;;Бубновый Валет;Moscow;Levinskij House;group;;250;37;proof read
1304;1910-12-15;1911-02-05;;Winter-Ausstellung. Karl Haider, Heinrich von Zügel;Munich;Königliches Kunstausstellungsgebäude am Königsplatz;group;"Verein bildender Künstler Münchens ""Secession""";253;2;proof read
1420;1910-12-17;1910-12-26;;Neue Künstlervereinigung München E.V., Turnus 1910-1911. [II. Ausstellung];Hagen;Museum Folkwang;group;"Neue Künstlervereinigung München (N.K.V.M.); Museum Folkwang";0;0;pending
1278;1910-12-19;1910-12-31;;Exposition de Dessins & Aquarelles;Paris;Galerie Druet;group;Galerie Druet;0;0;pending
329;1910-12-19;1910-12-30;;La Faune;Paris;MM. Bernheim-Jeune & Cie;group;MM. Bernheim-Jeune & Cie;99;44;proof read
1178;1910-12-31;1911-01-00;;Kollektiv-Ausstellung Prof. Emil Orlik, Wilhelm Legler;Vienna;Galerie Miethke;group;Galerie Miethke;40;2;proof read
351;1911-00-00;;;"2-я Выставка картин общества художников ""Союз Молодежи""";Saint Petersburg;Saint Petersburg (exact location unknown);group;;192;29;proof read
1087;1911-00-00;;;Drawings by Walter Sickert;London;Carfax Gallery;solo;Carfax Gallery;50;2;completed
914;1911-00-00;;;Hagenbund;Prague;Galerie Josefinum;group;Künstlerbund Hagen / Hagenbund;283;31;proof read
1253;1911-00-00;;;Société des Artistes Méridionaux Toulouse VIe Exposition;Toulouse;Ancien Archevêché;group;Société des Artistes Méridionaux;212;27;proof read
331;1911-00-00;;;XVIII Выставка Картин Московскаго Т-ва Художников;Moscow;Дом Левиссон;group;;535;77;proof read
349;1911-00-00;;;XXII. Ausstellung der Berliner Secession;Berlin;Ausstellungshaus am Kurfürstendamm 208/9;group;Berliner Secession;332;132;proof read
350;1911-00-00;;;Мир Искусства;Moscow;Moscow (exact location unknown);group;;358;47;proof read
332;1911-00-00;;;"Общество Художников ""Московский Салон""";Moscow;Помещение экономическаго общества офицеров;group;;281;61;proof read
335;1911-01-00;1911-02-00;;S. V. U. Manes. XXXV. výstava. (Členská);Prague;Pavilon v zahradě Kinských;group;Spolek výtvarných umělců Mánes;79;24;proof read
333;1911-01-00;;;Мир искусства;Saint Petersburg;Saint Petersburg (exact location unknown);group;;289;43;proof read
930;1911-01-05;1911-01-16;;"XIII. Jahrgang. Winter 1910/11. V. Ausstellung. [Corinth ""Golgatha""]";Berlin;Paul Cassirer;group;Paul Cassirer;20;12;proof read
1018;1911-01-06;1911-01-29;;A Művészház negyedik csoportos kiállitása;Budapest;Művészház;group;Művészház;114;8;proof read
832;1911-01-09;1911-01-28;;Exposition de Peinture de Jean Puy;Paris;Galerie Eug. Blot;solo;;32;1;proof read
336;1911-01-11;1911-01-31;;Paintings and Drawings by Mr. Max Weber, of New York;New York;Photo-Secession Galleries;group;;0;0;pending
838;1911-01-15;1911-01-28;;Exposition de Peintures de Joseph Trévoux;Paris;Galerie Druet;solo;Galerie Druet;214;1;proof read
931;1911-01-21;1911-02-02;;XIII. Jahrgang. Winter 1910/11. VI. Ausstellung. Neue Künstler-Vereinigung München;Berlin;Paul Cassirer;group;"Paul Cassirer; Neue Künstlervereinigung München (N.K.V.M.)";69;19;proof read
337;1911-01-23;1911-02-01;;"""Les Ponts de Paris"" nouvelle série d'aquarelles de Paul Signac";Paris;MM. Bernheim-Jeune & Cie;group;MM. Bernheim-Jeune & Cie;86;1;completed
739;1911-01-27;1911-03-12;;Société des Amis des Arts de Nantes: 20e Exposition;Nantes;Salons de la Société;group;;0;0;pending
835;1911-01-29;1911-02-11;;Exposition de Peintures de Émilie Charmy;Paris;Galerie Druet;solo;Galerie Druet;65;1;proof read
1174;1911-02-00;1911-03-01;;Corot, Delacroix, Courbet;Vienna;Galerie Miethke;group;Galerie Miethke;29;3;proof read
338;1911-02-00;;;Hagenbund. Sonderausstellung Malerei und Plastik;Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;Künstlerbund Hagen / Hagenbund;145;11;proof read
1102;1911-02-00;;February 1911;Paintings and Drawings by C. J. Holmes;London;Carfax Gallery;solo;Carfax Gallery;31;1;completed
340;1911-02-02;1911-02-22;;An exhibition of recent water-colors, - the Tyrol and vicinity of New York -, by Mr. John Marin, of New York;New York;Photo-Secession Galleries;group;;0;0;pending
1025;1911-02-05;1911-02-28;;Kövér Gyula ujabb festményeinek kiállitása;Budapest;Művészház;solo;Művészház;120;1;proof read
1446;1911-02-06;1911-03-18;;[Drawings and watercolors by Henry Somm.];Paris;Galerie B. Weill;solo;;0;0;pending
341;1911-02-13;1911-02-25;;Exposition Vuillard;Paris;MM. Bernheim-Jeune & Cie;solo;MM. Bernheim-Jeune & Cie;28;1;proof read
339;1911-02-18;1911-04-15;;Neue Secession / III. Ausstellung, Gemälde;Berlin;Gemälde Galerie Maximilian Macht;group;Gemälde Galerie Maximilian Macht;0;0;pending
1432;1911-02-19;1911-04-16;;Салон 2. Международная Художественная Выставка;Odessa;Vladimir Izdebsky;group;Vladimir Izdebsky;425;55;completed
342;1911-02-23;1911-03-08;;An exhibition of drawings, and photographs of paintings by Henri Matisse;New York;Photo-Secession Galleries;group;Photo-Secession Galleries;0;0;pending
859;1911-02-27;1911-03-12;;Exposition de Peintures de Théo van Rysselberghe;Paris;Galerie Druet;solo;;54;1;proof read
344;1911-03-00;;;An exhibition of pictures by Gustave Courbet;London;Stafford Gallery;solo;Stafford Gallery;24;1;completed
1305;1911-03-00;1911-08-00;;Hagenbund. Frühjahrs-Ausstellung;Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;Künstlerbund Hagen / Hagenbund;221;51;completed
1385;1911-03-00;;;Mostra d'Arte Libera: I manifestazione collettiva dei Futuristi;Milan;Padiglione Ricordi;group;;0;0;pending
343;1911-03-00;1911-03-00;;XIII. Jahrgang. Winter 1910/1911. VIII. Ausstellung. [Kollektionen von Paul Cézanne, Ferdinand Hodler, Leopold von Kalckreuth, Fritz von Uhde, Maurice H. Sterne];Berlin;Paul Cassirer;group;Paul Cassirer;49;8;proof read
1165;1911-03-00;1911-04-00;;XXXVI. výstava S. V. U. Manes. Členská;Prague;Pavilon v zahradě Kinských;group;Spolek výtvarných umělců Mánes;107;2;completed
345;1911-03-01;1911-03-25;;An exhibition of water-colors by Cézanne;New York;Photo-Secession Galleries;group;;0;0;pending
346;1911-03-03;1911-04-20;;Frühjahr-Ausstellung der Münchener Secession;Munich;Königliches Kunstausstellungsgebäude am Königsplatz;group;;671;161;proof read
1177;1911-03-04;1911-03-30;;Kollektiv-Ausstellung Max Kurzweil und Carl Moll;Vienna;Galerie Miethke;group;Galerie Miethke;36;3;proof read
373;1911-03-12;1911-04-12;;Rippl-Rónai József retrospektiv kiállitása 1888-1911;Budapest;Művészház;solo;Művészház;203;1;proof read
1447;1911-03-13;1911-03-25;;[Grass- Mick];Paris;Galerie B. Weill;solo;;0;0;pending
347;1911-03-13;1911-03-25;;Exposition Annuelle. 2me Groupe;Paris;Galerie Druet;group;Galerie Druet;60;11;proof read
959;1911-03-15;1911-03-16;;Tableaux Modernes. Aquarelles - Pastels - Dessins;Paris;Hôtel Drouot;group;Hôtel Drouot;113;65;proof read
348;1911-03-18;1911-04-23;;La Libre Esthétique, dix-huitième Exposition à Bruxelles;Brussels;Brussels (exact location unknown);group;La Libre Esthétique;251;26;completed
352;1911-03-27;1911-04-14;;Exposition K.-X. Roussel;Paris;MM. Bernheim-Jeune & Cie;solo;MM. Bernheim-Jeune & Cie;50;1;proof read
353;1911-03-28;1911-04-25;;An exhibition of early and recent drawings and water-colors by Pablo Picasso, of Paris;New York;Photo-Secession Galleries;group;;0;0;pending
356;1911-04-00;1911-05-00;;"""Nyolcak"" kiállitása";Budapest;Nemzeti Szalon;group;Nemzeti Szalon;97;7;proof read
1096;1911-04-00;;April 1911;Contemporary Works of Art chosen by The Hon. Neville Lytton;London;Carfax Gallery;group;Carfax Gallery;80;9;completed
355;1911-04-00;;;De Unga;Stockholm;Hallins konsthandel;group;"Hallins konsthandel; De Unga";108;18;proof read
354;1911-04-00;;;Edvard Munch Udstilling;Christiania;Diorama;solo;Diorama;302;1;completed
774;1911-04-00;1911-00-00;;Esposizione Internazionale di Roma / Mostra di Belle Arti;Rome;Palazzo delle Belle Arti;group;;0;0;pending
357;1911-04-00;1911-06-00;;Société Nationale des Beaux-Arts / XXIe Exposition;Paris;Grand Palais des Champs Elysées;group;;0;0;pending
932;1911-04-00;1911-04-00;;XIII. Jahrgang. Winter 1910/1911. IX. Ausstellung. [Kollektionen Walter Bondy, Rudolf Levy, Julius Pascin, Hans Purrmann];Berlin;Paul Cassirer;group;Paul Cassirer;115;13;proof read
933;1911-04-00;1911-05-14;ca/04/1911 - 14/05/1911;XIII. Jahrgang. Winter 1910/1911. X. Ausstellung. [Sammlung Maurice Masson, Paris];Berlin;Paul Cassirer;group;Paul Cassirer;67;23;proof read
1265;1911-04-00;1911-07-00;;XXXVIII. Ausstellung der Vereinigung bildender Künstler Österreichs Secession. Wien;Vienna;Gebäude der Secession;group;Vereinigung bildender Künstler Österreichs Secession;257;58;proof read
1176;1911-04-01;1911-04-22;;Kollektiv-Ausstellung B. Pinell-Koller und Heinrich Schröder;Vienna;Galerie Miethke;group;Galerie Miethke;38;2;proof read
1427;1911-04-11;1911-05-01;;Salon 2, 1910-11: International Art Exhibition;Nikolaev;Nikolaev (exact location unknown);group;;0;0;pending
358;1911-04-21;1911-06-13;;Société des Artistes Indépendants: 27e Exposition. Henri Rousseau.;Paris;Quai d'Orsay, Pont de l'Alma;group;Société des Artistes Indépendants;0;0;pending
1207;1911-04-24;1911-05-02;;[Egon Schiele];Vienna;Galerie Miethke;solo;Galerie Miethke;0;0;pending
359;1911-04-24;1911-05-06;;Exposition Annuelle, IIIme Groupe;Paris;Galerie Druet;group;Galerie Druet;50;10;proof read
360;1911-04-27;1911-06-30;;Fifteenth Annual Exhibition;Pittsburgh;Carnegie Institute;group;Carnegie Institute;345;240;completed
361;1911-04-30;1911-06-11;;Vereeniging Sint-Lucas. Een en Twintigste [21.] Jaarlijksche Tentoonstelling;Amsterdam;Stedelijk Museum;group;Vereeniging Sint Lucas;619;219;completed
793;1911-05-00;;;Second exhibition;Rouen;Société Normande de Peinture Moderne;group;;0;0;pending
934;1911-05-00;1911-06-00;mid/05/1911 - end/06/1911;XIII. Jahrgang. Winter 1910/1911. XI. Ausstellung. [Kollektionen von Vally Friedmann, Carl Strathmann, Ines Wetzel];Berlin;Paul Cassirer;group;;52;3;proof read
827;1911-05-08;1911-05-20;;Exposition de Peintures de Harry Bloomfield;Paris;Galerie Druet;solo;;31;1;proof read
362;1911-05-10;1911-10-10;;Leipziger Jahrsausstellung 1911 in Verbindung mit dem Deutschen Künstlerbund;Leipzig;Im Städtischen Kaufhause, Eingang Kupfergasse;group;;0;0;pending
1019;1911-05-14;1911-06-15;;V. Csoportos kiállitás a Művészházban;Budapest;Művészház;group;Művészház;218;10;proof read
363;1911-05-16;1911-10-31;;Internationale Kunstausstellung der Münchener Secession;Munich;Königliches Kunstausstellungsgebäude am Königsplatz;group;"Verein bildender Künstler Münchens ""Secession""";355;128;proof read
364;1911-05-16;;;VI. Esposición Internacional de Arte;Barcelona;Ayuntamiento de Barcelona;group;;0;0;pending
365;1911-05-17;1911-06-03;;Exposition des oeuvres récentes (1910 & 1911) de Bonnard / Panneaux décoratifs et tableaux;Paris;MM. Bernheim-Jeune & Cie;group;MM. Bernheim-Jeune & Cie;29;1;proof read
1271;1911-05-20;1911-05-22;;Vente au bénéfice du Monument Cézanne;Paris;Hôtel Drouot;auction;"Hôtel Drouot; MM. Bernheim-Jeune & Cie";22;19;proof read
886;1911-05-22;1911-06-03;;Exposition des Fioretti ou Petites Fleurs de Saint François;Paris;Galerie Druet;group;;75;1;proof read
366;1911-05-26;1911-06-00;26/05/1911 - end/06/1911;Kollektion Ferdinand Hodler im Kölnischen Kunstverein;Cologne;Wallraf-Richartz-Museum;solo;Kölnischer Kunstverein;124;1;proof read
374;1911-06-00;;Summer 1911;Forty-fifth Exhibition of Modern Pictures. New English Art Club;London;Galleries of the Royal Society of British Artists;group;New English Art Club;214;97;completed
367;1911-06-00;;;Tentoonstelling van Schilderijen, Aquarellen en Teekeningen van Vincent van Gogh;Amsterdam;Larensche Kunsthandel;solo;Larensche Kunsthandel;69;1;completed
368;1911-06-00;;;The First Exhibition of the Camden Town Group;London;Carfax Gallery;group;Carfax Gallery;55;15;proof read
369;1911-06-01;;;Retrospektiva Konstutställningen 1861-1911;Gothenburg;Gothenburg [exact location unknown];group;"Konstförening Göteborg; Sällskapet Gnistan";276;127;completed
370;1911-06-06;1911-06-24;;Exposition Van Dongen;Paris;MM. Bernheim-Jeune & Cie;solo;MM. Bernheim-Jeune & Cie;36;1;proof read
1269;1911-06-07;1911-06-08;;Collection Henry Bernstein;Paris;Hôtel Drouot;group;Hôtel Drouot;38;15;completed
1208;1911-06-08;;;[Hede Trapp];Vienna;Galerie Miethke;solo;Galerie Miethke;0;0;pending
371;1911-06-10;1911-07-03;;Les Indépendants Cercle d'Art / VIIIme Salon annuel;Brussels;Brussels (exact location unknown);group;Les Indépendants Cercle d'Art;232;47;proof read
1483;1911-06-11;1911-07-30;;Ausstellung des Verbandes der Kunstfreunde in den Ländern am Rhein;Zurich;Kunsthaus Zürich;group;Kunsthaus Zürich;301;99;completed
372;1911-06-13;1911-07-02;;Kunstausstellung aus Essener Privatbesitz;Essen;Kunstmuseum;group;Kunstmuseum;146;90;completed
836;1911-06-19;1911-07-03;;Exposition de peintures & d'aquarelles de Henri Edmond Cross & Paul Signac;Paris;Galerie Druet;group;;29;2;proof read
375;1911-06-26;1911-07-13;;L'Eau;Paris;MM. Bernheim-Jeune & Cie;group;MM. Bernheim-Jeune & Cie;63;37;proof read
1092;1911-06-27;;;An Exhibition of Pictures by Walter Sickert;London;Stafford Gallery;solo;Stafford Gallery;40;1;proof read
935;1911-07-00;1911-09-00;;[XIII. Jahrgang. Sommerausstellung];Berlin;Paul Cassirer;group;Paul Cassirer;0;0;pending
377;1911-07-00;1911-08-00;;Tentoonstelling van Schilderijn en Teekeningen van Walchersche Schilders;Domburg;Tentoonstellingszaal;group;;81;12;completed
376;1911-07-00;1911-08-07;;The London Salon of the Allied Artists' Association. Fourth Year;London;Royal Albert Hall;group;Allied Artists'  Association, Ltd.;1273;414;completed
378;1911-07-06;1911-10-15;;Exposition des Œuvres de L. Bakst;Paris;Palais du Louvre - Pavillon de Marsan;solo;Musée des Arts Décoratifs;85;1;proof read
1361;1911-07-16;1911-10-01;;Hodler-Ausstellung;Frankfurt am Main;Gebäude des Frankfurter Kunstvereins;solo;Frankfurter Kunstverein;9;1;in progress
379;1911-07-20;1911-08-05;;La Montagne;Paris;MM. Bernheim-Jeune & Cie;group;MM. Bernheim-Jeune & Cie;45;20;proof read
380;1911-08-00;;;Munchs Konkurranceutkast tic Universitetes Festsal;Christiania;Diorama;group;Diorama;29;1;completed
1421;1911-08-29;1911-09-30;;Neue Künstlervereinigung München E.V., Turnus 1910-1911. [II. Ausstellung];Weimar;Großherzogliches Museum für Kunst und Kunstgewerbe;group;"Neue Künstlervereinigung München (N.K.V.M.); Großherzogliches Museum für Kunst und Kunstgewerbe";0;0;pending
1021;1911-09-03;1911-09-00;;A Művészház [második] zsűrimentes kiállítása;Budapest;Művészház;group;Művészház;205;89;proof read
1336;1911-09-15;1911-11-05;;2. Ausstellung der Vereinigung bildender Künstlerinnen Österreichs;Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;"Künstlerbund Hagen / Hagenbund; Vereinigung bildender Künstlerinnen Österreichs";0;0;pending
1031;1911-09-24;1911-10-17;;Italo Brass és Lándori Vilmos gyűjteményes kiállitása a Művészházban;Budapest;Művészház;group;Művészház;61;1;proof read
1453;1911-10-00;1911-11-00;;Französische Impressionisten;Vienna;Galerie Arnot;group;Galerie Arnot;28;5;completed
381;1911-10-00;;;Kunst unserer Zeit in Cölner Privatbesitz;Cologne;Wallraf-Richartz-Museum;group;Kölnischer Kunstverein;120;73;completed
1284;1911-10-00;;;Watercolours by Douglas Fox Pitt and Walter Taylor;London;Carfax Gallery;group;Carfax Gallery;55;2;proof read
383;1911-10-01;1911-11-08;;Salon d'Automne. 9e exposition;Paris;Grand Palais des Champs Elysées;group;Société du Salon d'Automne;0;0;pending
384;1911-10-06;1911-11-05;;Internationale Tentoonstelling van Moderne Kunst. Moderne Kunst Kring;Amsterdam;Stedelijk Museum;group;Moderne Kunst Kring;166;31;proof read
382;1911-10-13;1911-11-12;;[XIV. Jahrgang. I. Ausstellung. Ferdinand Hodler];Berlin;Paul Cassirer;solo;Paul Cassirer;79;1;proof read
1094;1911-10-13;;;Exhibition of Pictures by Camille Pissarro;London;Stafford Gallery;solo;Stafford Gallery;35;1;completed
385;1911-10-16;1911-10-28;;René Seyssaud / Bretagne - Provence, Figures et Natures mortes;Paris;MM. Bernheim-Jeune & Cie;group;MM. Bernheim-Jeune & Cie;60;1;proof read
1032;1911-10-22;1911-11-12;;Tornyay János gyűjteményes kiállitása a Művészházban;Budapest;Művészház;group;Művészház;248;2;proof read
388;1911-11-00;1911-12-00;;Dreiundzwanzigste Ausstellung der Berliner Secession. Zeichnende Künste;Berlin;Ausstellungshaus am Kurfürstendamm 208/9;group;Berliner Secession;1098;144;proof read
390;1911-11-00;1911-12-00;;Exposition Internationale de l'Art Chrétien Moderne / Organisée par la Société de Saint-Jean;Paris;Palais du Louvre - Pavillon de Marsan;group;"Société de Saint-Jean; Union Centrale des Arts Décoratifs";539;91;completed
391;1911-11-00;1911-12-00;;Hagenbund. Kollektivausstellung der Vereinigung Bildender Künstler Manes. Prag;Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;Künstlerbund Hagen / Hagenbund;119;19;proof read
1362;1911-11-00;1911-12-00;;Kollektiv-Ausstellung Ferdinand Hodler;Munich;Moderne Galerie (Heinrich Thannhauser);solo;Moderne Galerie (Heinrich Thannhauser);0;0;pending
1175;1911-11-00;1911-12-15;mid/11/1911 - 15/12/1911;Kollektiv-Ausstellung Ludwig Hans Fischer;Vienna;Galerie Miethke;solo;Galerie Miethke;59;2;proof read
1283;1911-11-00;;;Painting and Drawings by Gerard Chowne;London;Carfax Gallery;solo;Carfax Gallery;47;1;proof read
936;1911-11-00;1911-12-10;ca. 20/11/1911 - 10/12/1911;XIV. Jahrgang. Winter 1911/1912. II. Ausstellung. [Kollektionen Martin Bloch, Henryk Glicenstein, Konrad v. Kardorff];Berlin;Paul Cassirer;group;Paul Cassirer;45;4;proof read
1273;1911-11-00;1912-01-00;;XXXIX. Ausstellung der Vereinigung bildender Künstler Österreichs Secession;Vienna;Gebäude der Secession;group;Vereinigung bildender Künstler Österreichs Secession;372;6;proof read
392;1911-11-13;1911-11-25;;Pierre Laprade vous prie de visiter, E. Druet, 20, Rue Royale l'Exposition de ses Peintures et Aquarelles, Marseille, Rome, Naples, Palerme.;Paris;Galerie Druet;solo;Galerie Druet;79;1;proof read
393;1911-11-18;1912-01-31;;Neue Secession Berlin. IV. Ausstellung. Gemälde.;Berlin;Räumlichkeiten der Neuen Secession;group;Neue Secession Berlin E. V.;115;31;proof read
394;1911-11-20;1911-12-16;;Exposition d'Art Contemporain / Société Normande de Peinture Moderne 2me exposition;Paris;Galerie d'Art Ancien & d'Art Contemporain;group;"Galerie d'Art Ancien & d'Art Contemporain; Société Normande de Peinture Moderne";158;37;proof read
387;1911-11-23;;;Exhibition of Pictures by Paul Cézanne (1839-1906) and Paul Gauguin (1848-1903);London;Stafford Gallery;group;Stafford Gallery;18;2;proof read
389;1911-11-25;1911-12-17;;Kernstock Károly retrospekív kiállítás;Budapest;Művészház;solo;Művészház;67;2;proof read
395;1911-11-27;1911-12-09;;Exposition Annuelle, 1er Groupe;Paris;Galerie Druet;group;Galerie Druet;54;11;proof read
396;1911-11-28;;;"Vystavka kartin ""Mir iskusstva""";Moscow;Moscow (exact location unknown);group;;0;0;pending
820;1911-12-00;;;Esposizione intima annuale;Milan;Famiglia Artistica;group;Famiglia Artistica;0;0;pending
405;1911-12-00;;Winter 1911;Forty-Sixth Exhibition of Modern Pictures by the New English Art Club;London;Galleries of the Royal Society of British Artists;group;New English Art Club;321;138;completed
399;1911-12-00;;;Neue Künstlervereinigung München E.V., III. Ausstellung. Turnus 1911/12;Munich;Moderne Galerie (Heinrich Thannhauser);group;"Moderne Galerie (Heinrich Thannhauser); Neue Künstlervereinigung München (N.K.V.M.)";61;7;completed
401;1911-12-00;1911-12-09;;Recent Paintings by Walt Kuhn;New York;The Madison Art Gallery;group;The Madison Art Gallery;15;1;completed
398;1911-12-00;;;The Second Exhibition of the Camden Town Group;London;Carfax Gallery;group;Carfax Gallery;53;15;proof read
397;1911-12-00;1912-01-00;mid/12/1911 - beg/01/1912;XIV. Jahrgang. Winter 1911/1912. III. Ausstellung. [Kollektionen Leo Klein-Diepold, Oskar Moll, Max Pechstein, Fritz Rhein, Josef Rippl-Rónai];Berlin;Paul Cassirer;group;Paul Cassirer;60;6;proof read
909;1911-12-03;1911-12-17;;I. Ausstellung des Modernen Bundes;Luzern;Grand Hotel du Lac;group;Der Moderne Bund;65;15;proof read
402;1911-12-04;1911-12-16;;Oeuvres Nouvelles de Van Dongen;Paris;MM. Bernheim-Jeune & Cie;solo;MM. Bernheim-Jeune & Cie;31;1;proof read
406;1911-12-08;;;Однодневная Выставка Произведений М. Ф. Ларионова;Moscow;Moscow (exact location unknown);solo;;124;1;proof read
833;1911-12-11;1911-12-23;;Exposition d'Aquarelles de Maurice Asselin;Paris;Galerie Eug. Blot;solo;;55;1;completed
403;1911-12-11;1911-12-23;;Exposition de Peintures et de Céramiques de G. Rouault;Paris;Galerie Druet;solo;Galerie Druet;114;1;proof read
1329;1911-12-15;1912-02-04;;Winter-Ausstellung. Wiener Secession und Gedächtnis-Ausstellung Hubert von Heyden ✝;Munich;Königliches Kunstausstellungsgebäude am Königsplatz;group;"Verein bildender Künstler Münchens ""Secession""";540;40;proof read
1209;1911-12-17;1912-01-17;;[Eugen Spiro];Vienna;Galerie Miethke;solo;Galerie Miethke;0;0;pending
404;1911-12-17;1912-01-23;;Союз Молодежи;Saint Petersburg;Nevsky 73;group;;122;22;completed
400;1911-12-18;1912-01-03;;Der Blaue Reiter. Die Erste Ausstellung der Redaktion;Munich;Moderne Galerie (Heinrich Thannhauser);group;Moderne Galerie (Heinrich Thannhauser);43;14;completed
1267;1911-12-26;1912-01-06;;Exposition de Dessins & Aquarelles;Paris;Galerie Druet;group;Galerie Druet;0;0;pending
752;1912-00-00;;;[Salon Roos, Amsterdam];Amsterdam;Galerie de Roos;group;;0;0;pending
407;1912-00-00;;;Ausstellung Vincent van Gogh. 1853-1890;Breslau;Galerie Ernst Arnold;solo;Galerie Ernst Arnold;41;1;completed
1374;1912-00-00;;;Ausstellung Vincent van Gogh. 1853-1890;Dresden;Galerie Ernst Arnold;solo;;0;0;pending
776;1912-00-00;1912-00-00;;Esposizione Internazionale;Buenos Aires;Buenos Aires (exact location unknown);group;;0;0;pending
409;1912-00-00;;;Exposition d'Art Moderne;Paris;Galerie Manzi, Joyant & Cie.;group;Galerie Manzi, Joyant & Cie.;208;13;proof read
1454;1912-00-00;1912-04-23;;I. Ausstellung der Künstlervereinigung Sema;Munich;Moderne Galerie (Heinrich Thannhauser);group;Moderne Galerie (Heinrich Thannhauser);74;15;completed
